Order_ID,Order_Date,Promised_Delivery,Actual_Delivery,Supplier,Warehouse,Product,Category,Quantity,Lead_Time,Inventory_Level,Order_Status,Defect_Flag
O0073,2024-02-20,2024-03-02,2024-03-04,Supplier B,WH3,P007,Electronics,473,7,145,Delivered,0
O0074,2024-03-19,2024-03-28,2024-03-26,Supplier D,WH3,P011,Furniture,189,13,512,Delivered,0
O0075,2024-06-02,2024-06-07,2024-06-10,Supplier C,WH3,P002,Furniture,96,12,234,Cancelled,0
O0076,2024-05-27,2024-06-01,2024-06-03,Supplier A,WH1,P011,Furniture,192,10,185,Cancelled,0
O0077,2024-05-05,2024-05-11,2024-05-11,Supplier D,WH2,P002,Furniture,489,13,164,Delivered,0
O0078,2024-03-14,2024-03-25,2024-03-23,Supplier D,WH1,P008,Furniture,215,14,118,Cancelled,0
O0079,2024-05-11,2024-05-16,2024-05-17,Supplier D,WH1,P007,Electronics,368,14,774,Delivered,0
O0080,2024-01-14,2024-01-22,2024-01-24,Supplier B,WH2,P011,Furniture,112,10,29,Cancelled,0
O0081,2024-03-02,2024-03-09,2024-03-11,Supplier A,WH3,P002,Furniture,165,10,116,Delivered,0
O0082,2024-02-09,2024-02-21,2024-02-23,Supplier C,WH2,P011,Furniture,174,10,467,Delivered,0
O0083,2024-06-02,2024-06-09,2024-06-09,Supplier D,WH2,P009,Clothing,470,7,2,Delivered,0
O0084,2024-05-30,2024-06-11,2024-06-12,Supplier D,WH2,P011,Furniture,283,8,329,Delayed,1
O0085,2024-03-02,2024-03-13,2024-03-18,Supplier D,WH1,P011,Furniture,411,9,390,Delivered,0
O0086,2024-06-15,2024-06-22,2024-06-20,Supplier B,WH3,P009,Clothing,495,13,102,Delayed,0
O0087,2024-05-14,2024-05-26,2024-05-29,Supplier B,WH2,P006,Clothing,88,6,480,Delayed,0
O0088,2024-06-08,2024-06-19,2024-06-24,Supplier C,WH3,P012,Clothing,212,7,641,Delayed,0
O0089,2024-05-18,2024-05-23,2024-05-21,Supplier B,WH3,P009,Clothing,166,15,764,Delivered,1
O0090,2024-06-11,2024-06-17,2024-06-16,Supplier C,WH1,P007,Electronics,457,13,57,Delivered,0
O0091,2024-02-07,2024-02-15,2024-02-16,Supplier B,WH1,P001,Electronics,362,14,391,Delivered,0
O0092,2024-05-29,2024-06-05,2024-06-06,Supplier C,WH2,P002,Furniture,461,9,476,Delayed,0
O0093,2024-02-10,2024-02-16,2024-02-16,Supplier C,WH3,P008,Furniture,283,13,309,Delivered,0
O0094,2024-05-03,2024-05-09,2024-05-10,Supplier C,WH3,P008,Furniture,61,9,674,Delivered,0
O0095,2024-06-24,2024-06-29,2024-07-02,Supplier D,WH2,P007,Electronics,162,15,651,Delivered,0
O0096,2024-06-17,2024-06-24,2024-06-27,Supplier A,WH2,P002,Furniture,346,7,373,Delayed,0
O0097,2024-03-16,2024-03-26,2024-03-25,Supplier B,WH1,P009,Clothing,321,12,513,Delayed,0
O0098,2024-03-06,2024-03-18,2024-03-21,Supplier C,WH1,P002,Furniture,122,10,772,Cancelled,0
O0099,2024-06-21,2024-07-02,2024-07-02,Supplier A,WH2,P007,Electronics,324,14,126,Delivered,0
O0100,2024-06-21,2024-06-30,2024-07-01,Supplier C,WH1,P006,Clothing,291,15,25,Delivered,1
O0101,2024-03-24,2024-04-01,2024-04-04,Supplier D,WH3,P011,Furniture,109,7,143,Delivered,0
O0102,2024-05-06,2024-05-12,2024-05-11,Supplier B,WH2,P008,Furniture,393,7,760,Delivered,0
O0103,2024-05-30,2024-06-06,2024-06-09,Supplier A,WH2,P012,Clothing,193,12,33,Delivered,0
O0104,2024-04-23,2024-05-01,2024-04-29,Supplier C,WH3,P009,Clothing,81,11,407,Delivered,1
O0105,2024-04-26,2024-05-02,2024-05-05,Supplier A,WH1,P005,Furniture,114,9,578,Delivered,0
O0106,2024-05-21,2024-05-29,2024-05-28,Supplier B,WH2,P001,Electronics,191,15,148,Cancelled,0
O0107,2024-02-14,2024-02-20,2024-02-19,Supplier A,WH2,P007,Electronics,58,6,178,Delivered,0
O0108,2024-04-17,2024-04-23,2024-04-24,Supplier D,WH2,P003,Clothing,281,7,515,Delivered,0
O0109,2024-06-17,2024-06-26,2024-06-29,Supplier A,WH1,P011,Furniture,268,13,702,Delivered,0
O0110,2024-04-23,2024-04-29,2024-04-29,Supplier B,WH1,P007,Electronics,369,7,648,Delivered,0
O0111,2024-04-07,2024-04-16,2024-04-18,Supplier D,WH1,P003,Clothing,486,13,670,Delivered,0
O0112,2024-02-25,2024-03-07,2024-03-06,Supplier D,WH2,P011,Furniture,262,13,747,Delivered,0
O0113,2024-06-19,2024-06-28,2024-06-27,Supplier D,WH1,P001,Electronics,97,11,442,Delivered,0
O0114,2024-02-03,2024-02-08,2024-02-10,Supplier C,WH3,P010,Electronics,231,15,681,Delayed,0
O0115,2024-01-14,2024-01-23,2024-01-23,Supplier C,WH1,P006,Clothing,129,15,672,Delivered,0
O0116,2024-03-30,2024-04-09,2024-04-14,Supplier C,WH3,P010,Electronics,482,7,574,Cancelled,0
O0117,2024-06-06,2024-06-11,2024-06-14,Supplier C,WH1,P007,Electronics,409,15,780,Delivered,0
O0118,2024-01-02,2024-01-09,2024-01-11,Supplier D,WH1,P001,Electronics,96,8,764,Delivered,0
O0119,2024-04-26,2024-05-06,2024-05-06,Supplier C,WH3,P002,Furniture,76,8,159,Delivered,0
O0120,2024-06-21,2024-06-27,2024-06-28,Supplier D,WH2,P012,Clothing,262,10,279,Delivered,0
O0121,2024-03-29,2024-04-09,2024-04-09,Supplier D,WH3,P009,Clothing,73,7,225,Delivered,0
O0122,2024-01-02,2024-01-10,2024-01-09,Supplier B,WH2,P008,Furniture,111,10,7,Delivered,0
O0123,2024-02-03,2024-02-14,2024-02-17,Supplier B,WH3,P009,Clothing,86,14,406,Delayed,0
O0124,2024-01-05,2024-01-17,2024-01-22,Supplier C,WH3,P011,Furniture,413,7,655,Delivered,0
O0125,2024-01-06,2024-01-16,2024-01-21,Supplier D,WH3,P002,Furniture,273,8,108,Delivered,0
O0126,2024-05-14,2024-05-20,2024-05-25,Supplier C,WH3,P005,Furniture,220,12,797,Delivered,0
O0127,2024-01-30,2024-02-07,2024-02-07,Supplier B,WH1,P004,Electronics,181,11,202,Delivered,0
O0128,2024-06-16,2024-06-22,2024-06-27,Supplier D,WH2,P012,Clothing,398,8,578,Delivered,1
O0129,2024-03-23,2024-04-02,2024-04-03,Supplier A,WH2,P008,Furniture,457,8,281,Delivered,0
O0130,2024-01-19,2024-01-28,2024-01-29,Supplier A,WH1,P008,Furniture,89,13,660,Delayed,0
O0131,2024-06-06,2024-06-17,2024-06-19,Supplier A,WH2,P006,Clothing,214,13,619,Delivered,0
O0132,2024-01-16,2024-01-28,2024-02-02,Supplier C,WH3,P004,Electronics,70,7,253,Delayed,1
O0133,2024-05-14,2024-05-21,2024-05-21,Supplier C,WH2,P008,Furniture,397,11,612,Delivered,0
O0134,2024-03-26,2024-04-01,2024-03-30,Supplier D,WH2,P005,Furniture,220,11,83,Delivered,0
O0135,2024-03-30,2024-04-08,2024-04-07,Supplier A,WH2,P012,Clothing,379,12,336,Delayed,0
O0136,2024-06-24,2024-06-30,2024-07-02,Supplier C,WH1,P008,Furniture,142,12,219,Delivered,0
O0137,2024-02-19,2024-02-27,2024-02-26,Supplier A,WH2,P001,Electronics,388,8,344,Delayed,0
O0138,2024-06-01,2024-06-12,2024-06-11,Supplier B,WH3,P006,Clothing,419,8,448,Delivered,0
O0139,2024-03-01,2024-03-13,2024-03-13,Supplier D,WH1,P006,Clothing,208,15,480,Delayed,0
O0140,2024-06-22,2024-07-04,2024-07-09,Supplier C,WH2,P012,Clothing,132,13,204,Delayed,0
O0141,2024-03-05,2024-03-10,2024-03-15,Supplier C,WH3,P001,Electronics,195,13,85,Delayed,0
O0142,2024-05-11,2024-05-18,2024-05-16,Supplier B,WH2,P002,Furniture,262,12,54,Delivered,0
O0143,2024-04-08,2024-04-14,2024-04-13,Supplier A,WH2,P007,Electronics,455,11,149,Delivered,0
O0144,2024-04-30,2024-05-07,2024-05-08,Supplier A,WH1,P007,Electronics,160,13,153,Delivered,0
O0145,2024-05-15,2024-05-26,2024-05-31,Supplier C,WH1,P002,Furniture,74,7,244,Delivered,0
O0146,2024-04-27,2024-05-03,2024-05-08,Supplier D,WH3,P003,Clothing,373,7,527,Delivered,0
O0147,2024-03-15,2024-03-26,2024-03-28,Supplier C,WH1,P012,Clothing,145,6,680,Delivered,0
O0148,2024-04-02,2024-04-08,2024-04-10,Supplier A,WH2,P002,Furniture,375,14,396,Cancelled,0
O0149,2024-01-05,2024-01-15,2024-01-15,Supplier B,WH3,P003,Clothing,445,7,595,Delayed,0
O0150,2024-01-12,2024-01-22,2024-01-22,Supplier B,WH3,P011,Furniture,373,14,186,Delayed,0
O0151,2024-04-27,2024-05-02,2024-05-01,Supplier A,WH1,P007,Electronics,208,10,527,Delivered,0
O0152,2024-05-01,2024-05-10,2024-05-15,Supplier B,WH2,P002,Furniture,493,6,671,Delivered,0
O0153,2024-04-04,2024-04-15,2024-04-18,Supplier D,WH2,P005,Furniture,304,12,708,Delivered,1
O0154,2024-05-12,2024-05-21,2024-05-24,Supplier D,WH1,P005,Furniture,329,7,300,Delivered,0
O0155,2024-06-18,2024-06-27,2024-06-28,Supplier D,WH1,P012,Clothing,229,10,457,Delivered,0
O0156,2024-03-31,2024-04-11,2024-04-14,Supplier A,WH1,P012,Clothing,236,10,525,Delayed,0
O0157,2024-01-08,2024-01-15,2024-01-18,Supplier D,WH1,P001,Electronics,170,15,797,Delivered,0
O0158,2024-05-25,2024-05-30,2024-05-29,Supplier D,WH2,P011,Furniture,440,15,78,Delivered,0
O0159,2024-04-11,2024-04-21,2024-04-20,Supplier A,WH1,P006,Clothing,305,10,530,Delivered,0
O0160,2024-03-08,2024-03-17,2024-03-16,Supplier C,WH3,P005,Furniture,112,13,138,Delayed,0
O0161,2024-04-23,2024-04-29,2024-05-02,Supplier C,WH3,P007,Electronics,203,11,161,Delayed,1
O0162,2024-06-12,2024-06-19,2024-06-21,Supplier B,WH1,P004,Electronics,171,11,505,Delivered,0
O0163,2024-04-04,2024-04-16,2024-04-15,Supplier A,WH1,P011,Furniture,417,14,736,Delivered,0
O0164,2024-04-14,2024-04-20,2024-04-20,Supplier A,WH2,P008,Furniture,115,8,798,Delivered,0
O0165,2024-02-03,2024-02-14,2024-02-19,Supplier A,WH1,P006,Clothing,205,14,168,Delivered,1
O0166,2024-02-27,2024-03-08,2024-03-08,Supplier A,WH2,P007,Electronics,114,14,640,Delivered,0
O0167,2024-05-08,2024-05-15,2024-05-17,Supplier B,WH1,P009,Clothing,481,15,577,Delivered,0
O0168,2024-01-21,2024-01-26,2024-01-26,Supplier B,WH3,P002,Furniture,304,15,642,Delivered,0
O0169,2024-03-18,2024-03-30,2024-04-04,Supplier D,WH2,P002,Furniture,402,9,61,Delivered,0
O0170,2024-04-28,2024-05-06,2024-05-08,Supplier B,WH2,P009,Clothing,425,11,353,Cancelled,0
O0171,2024-04-04,2024-04-10,2024-04-09,Supplier D,WH1,P011,Furniture,176,11,144,Delivered,0
O0172,2024-04-08,2024-04-19,2024-04-24,Supplier B,WH2,P009,Clothing,147,9,781,Delivered,1
O0173,2024-04-29,2024-05-11,2024-05-12,Supplier A,WH1,P011,Furniture,173,10,220,Delivered,0
O0174,2024-03-13,2024-03-25,2024-03-30,Supplier D,WH2,P003,Clothing,483,15,110,Delivered,0
O0175,2024-04-03,2024-04-14,2024-04-12,Supplier D,WH1,P006,Clothing,235,11,566,Delivered,0
O0176,2024-04-25,2024-05-04,2024-05-07,Supplier A,WH1,P010,Electronics,241,15,347,Delivered,0
O0177,2024-02-06,2024-02-14,2024-02-16,Supplier D,WH3,P001,Electronics,69,15,140,Delayed,0
O0178,2024-05-12,2024-05-24,2024-05-26,Supplier B,WH2,P009,Clothing,133,8,402,Cancelled,0
O0179,2024-03-17,2024-03-27,2024-04-01,Supplier D,WH3,P009,Clothing,293,14,17,Delivered,0
O0180,2024-04-16,2024-04-25,2024-04-27,Supplier D,WH2,P006,Clothing,419,6,52,Delivered,0
O0181,2024-06-10,2024-06-21,2024-06-26,Supplier B,WH1,P003,Clothing,147,8,19,Delivered,0
O0182,2024-04-15,2024-04-23,2024-04-25,Supplier D,WH3,P003,Clothing,411,12,141,Delivered,0
O0183,2024-06-18,2024-06-30,2024-07-01,Supplier C,WH1,P008,Furniture,329,14,362,Delivered,0
O0184,2024-06-23,2024-07-02,2024-07-03,Supplier B,WH1,P008,Furniture,165,15,304,Delayed,0
O0185,2024-06-25,2024-07-07,2024-07-08,Supplier C,WH3,P009,Clothing,197,11,124,Delivered,0
O0186,2024-04-11,2024-04-21,2024-04-21,Supplier A,WH2,P003,Clothing,227,8,452,Delivered,0
O0187,2024-02-24,2024-03-03,2024-03-03,Supplier C,WH1,P004,Electronics,174,14,51,Delivered,0
O0188,2024-06-12,2024-06-20,2024-06-18,Supplier D,WH2,P012,Clothing,101,6,697,Delayed,0
O0189,2024-05-20,2024-05-27,2024-05-30,Supplier D,WH2,P006,Clothing,437,12,294,Delivered,0
O0190,2024-01-23,2024-01-31,2024-02-03,Supplier A,WH1,P005,Furniture,68,14,406,Delayed,0
O0191,2024-03-15,2024-03-20,2024-03-20,Supplier A,WH2,P011,Furniture,378,6,556,Delivered,0
O0192,2024-02-04,2024-02-16,2024-02-15,Supplier A,WH2,P010,Electronics,381,10,263,Delayed,0
O0193,2024-03-27,2024-04-05,2024-04-08,Supplier B,WH1,P012,Clothing,473,15,437,Delivered,0
O0194,2024-06-20,2024-06-26,2024-06-25,Supplier D,WH2,P001,Electronics,183,8,392,Delivered,0
O0195,2024-03-25,2024-04-03,2024-04-06,Supplier A,WH2,P009,Clothing,404,15,241,Delivered,0
O0196,2024-03-19,2024-03-26,2024-03-29,Supplier C,WH3,P007,Electronics,238,12,629,Delivered,1
O0197,2024-05-02,2024-05-09,2024-05-12,Supplier C,WH2,P012,Clothing,437,13,550,Delayed,0
O0198,2024-03-04,2024-03-10,2024-03-11,Supplier C,WH1,P003,Clothing,81,14,560,Delayed,0
O0199,2024-05-17,2024-05-24,2024-05-24,Supplier D,WH1,P006,Clothing,417,8,597,Delivered,0
O0200,2024-04-24,2024-04-29,2024-04-28,Supplier D,WH2,P003,Clothing,336,13,473,Delivered,0
O0201,2024-01-06,2024-01-17,2024-01-22,Supplier A,WH3,P001,Electronics,73,10,433,Delivered,0
O0202,2024-01-16,2024-01-22,2024-01-20,Supplier C,WH2,P004,Electronics,442,13,656,Cancelled,0
O0203,2024-04-17,2024-04-27,2024-04-28,Supplier D,WH2,P004,Electronics,384,12,356,Delivered,1
O0204,2024-04-10,2024-04-17,2024-04-22,Supplier A,WH1,P011,Furniture,394,9,736,Delivered,0
O0205,2024-02-28,2024-03-07,2024-03-07,Supplier B,WH2,P001,Electronics,66,13,676,Delivered,0
O0206,2024-01-05,2024-01-13,2024-01-11,Supplier A,WH3,P010,Electronics,356,9,688,Delayed,0
O0207,2024-01-12,2024-01-23,2024-01-22,Supplier B,WH1,P007,Electronics,169,13,749,Delivered,0
O0208,2024-06-21,2024-07-01,2024-07-01,Supplier B,WH3,P006,Clothing,261,9,307,Delivered,0
O0209,2024-05-31,2024-06-07,2024-06-09,Supplier D,WH1,P011,Furniture,452,12,537,Delivered,0
O0210,2024-02-08,2024-02-17,2024-02-16,Supplier D,WH1,P007,Electronics,489,12,724,Delivered,0
O0211,2024-01-15,2024-01-26,2024-01-28,Supplier B,WH2,P007,Electronics,154,12,338,Delivered,1
O0212,2024-04-04,2024-04-10,2024-04-13,Supplier B,WH1,P011,Furniture,394,14,619,Delivered,0
O0213,2024-02-18,2024-02-26,2024-02-25,Supplier C,WH2,P004,Electronics,147,13,759,Delivered,1
O0214,2024-05-02,2024-05-10,2024-05-13,Supplier B,WH2,P007,Electronics,447,15,289,Delivered,0
O0215,2024-04-01,2024-04-10,2024-04-10,Supplier D,WH2,P010,Electronics,439,10,327,Delayed,0
O0216,2024-04-15,2024-04-20,2024-04-25,Supplier B,WH3,P001,Electronics,183,15,566,Delayed,0
O0217,2024-04-16,2024-04-25,2024-04-24,Supplier C,WH1,P005,Furniture,305,8,563,Delivered,0
O0218,2024-03-06,2024-03-18,2024-03-19,Supplier B,WH3,P005,Furniture,121,13,737,Delivered,0
O0219,2024-05-18,2024-05-23,2024-05-21,Supplier A,WH3,P001,Electronics,261,14,140,Delayed,0
O0220,2024-02-08,2024-02-13,2024-02-15,Supplier D,WH2,P010,Electronics,387,9,499,Delivered,0
O0221,2024-04-15,2024-04-20,2024-04-22,Supplier C,WH3,P002,Furniture,307,6,714,Delivered,0
O0222,2024-02-15,2024-02-21,2024-02-23,Supplier B,WH1,P007,Electronics,467,7,362,Delivered,0
O0223,2024-04-05,2024-04-16,2024-04-18,Supplier B,WH3,P007,Electronics,400,13,82,Delivered,0
O0224,2024-01-09,2024-01-15,2024-01-16,Supplier D,WH3,P002,Furniture,376,12,9,Delayed,0
O0225,2024-04-21,2024-05-01,2024-05-06,Supplier A,WH3,P004,Electronics,158,15,708,Delayed,0
O0226,2024-01-12,2024-01-18,2024-01-20,Supplier A,WH1,P002,Furniture,156,10,601,Delivered,0
O0227,2024-04-11,2024-04-17,2024-04-16,Supplier B,WH3,P008,Furniture,246,10,773,Delayed,0
O0228,2024-06-25,2024-07-01,2024-07-04,Supplier C,WH1,P010,Electronics,168,14,77,Delivered,0
O0229,2024-06-01,2024-06-12,2024-06-10,Supplier C,WH2,P005,Furniture,232,11,566,Delayed,0
O0230,2024-06-23,2024-07-04,2024-07-09,Supplier C,WH1,P003,Clothing,92,7,274,Delivered,0
O0231,2024-06-11,2024-06-18,2024-06-18,Supplier C,WH1,P001,Electronics,207,12,455,Delivered,0
O0232,2024-02-03,2024-02-09,2024-02-10,Supplier D,WH3,P012,Clothing,102,8,26,Delivered,0
O0233,2024-06-01,2024-06-11,2024-06-09,Supplier C,WH2,P002,Furniture,421,12,572,Delayed,1
O0234,2024-05-26,2024-06-02,2024-06-01,Supplier B,WH2,P008,Furniture,302,12,149,Delivered,0
O0235,2024-04-17,2024-04-26,2024-05-01,Supplier A,WH2,P005,Furniture,419,13,640,Delivered,0
O0236,2024-04-27,2024-05-03,2024-05-03,Supplier A,WH2,P011,Furniture,461,8,337,Delivered,0
O0237,2024-06-15,2024-06-22,2024-06-22,Supplier B,WH2,P005,Furniture,253,10,326,Delivered,0
O0238,2024-05-05,2024-05-13,2024-05-14,Supplier C,WH2,P002,Furniture,338,11,204,Delivered,0
O0239,2024-06-23,2024-06-28,2024-07-01,Supplier B,WH2,P002,Furniture,469,13,418,Delivered,0
O0240,2024-03-18,2024-03-26,2024-03-29,Supplier B,WH3,P011,Furniture,87,10,459,Cancelled,0
O0241,2024-04-12,2024-04-23,2024-04-21,Supplier C,WH3,P003,Clothing,105,14,787,Delivered,0
O0242,2024-02-12,2024-02-17,2024-02-20,Supplier D,WH2,P002,Furniture,55,15,100,Delivered,0
O0243,2024-05-12,2024-05-20,2024-05-20,Supplier D,WH2,P006,Clothing,226,13,25,Delivered,0
O0244,2024-01-22,2024-01-28,2024-01-28,Supplier C,WH2,P005,Furniture,316,8,494,Delivered,0
O0245,2024-06-27,2024-07-09,2024-07-07,Supplier C,WH1,P003,Clothing,61,11,351,Delivered,0
O0246,2024-02-12,2024-02-20,2024-02-19,Supplier B,WH2,P012,Clothing,286,14,237,Delayed,0
